Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;Tibetan
unite_England_with_netherlands_desc;With our monarch on the English throne, talks of formally uniting our two nations have increased dramatically. If united, we will have a stronger economic, military, and naval power-Significant factors needed during the modern age. This is an opportunity for prosperity that should not be missed!;;;;;;;;;;;;;
unite_England_with_netherlands_title;Over the Channel;;;;;;;;;;;;;
expand_west_title;West Expansion;;;;;;;;;;;;;
expand_west_desc;With the eastern coast of the Adriatic firmly under our grasp, it is now time to look over to the west-The rich territories of Veneto and beyond are aching for our rule! Glory to us!;;;;;;;;;;;;;
demand_milan_title;Demand Milan;;;;;;;;;;;;;
demand_milan_desc;The Germans have no claim nor reason to rule over our Cisalpine brothers in Lombardia. Our Italian compatriots are in desparate need for our help-we shall march to Milan and free them once and for all! Glory to Venice!;;;;;;;;;;;;;
greater_genoa_title;A Greater Genoa?;;;;;;;;;;;;;
greater_genoa_desc;As our power grows, we should strive to unite more of the Ligurian coast under our rule. Consolidating the regions of Massa and Lucca would be the first step of that plan. Glory to Genoa!;;;;;;;;;;;;;
expand_east_title;Expand along the Coast;;;;;;;;;;;;;
expand_east_desc;As Liguria is under our rule, now it is time to expand down the Tyrrhenian coast. The territories of Lazio and Campania will be ours!;;;;;;;;;;;;;
annex_egypt_cop_title;Down the Nile;;;;;;;;;;;;;
annex_egypt_cop_desc;Since the Coptic revolution the Barbarians have fled south. We werent able to beat them at the time , but now we have the strength to do so. We shall annex Nubia and finally prove to the world that we are the true heirs to the Egyptian civilization!;;;;;;;;;;;;;
form_pirate_guard_title;A National Guard;;;;;;;;;;;;;
form_pirate_guard_desc;While our Corsaire navy does the job well, no legitimate state can use only pirates for its force projection. It is time we formally incorporate our scattered units into a true standing army.;;;;;;;;;;;;;
reclaim_north_africa_title;Reclaim North Africa;;;;;;;;;;;;;
reclaim_north_africa_desc;As we modernize, people are starting to wonder if our ancestor's dreams of restoring Rome can be truly realized. The first step would to be marching north and restoring the provinces of Roman Africa-even if that means fighting the Berber nomad lords of the Sahara!;;;;;;;;;;;;;
form_morocco_title;Form the kingdom of Morocco;;;;;;;;;;;;;
form_morocco_desc;Finally, Morocco is united. The lands are no more split, and now we can form an united front against the Iberians. Glory to the Makhzen!;;;;;;;;;;;;;
form_algeria_title;Form the kingdom of Algeria;;;;;;;;;;;;;
form_algeria_desc;Finally, Algeria is united. The lands are no more split, and now we can form an united front against the Iberians. Glory to Jalalatuh!;;;;;;;;;;;;;
renovate_palace_of_marrakesh_title;Renovate the palace of Marrakesh;;;;;;;;;;;;;
renovate_palace_of_marrakesh_desc;Now that Morocco is united, we can move onto more long term projects. Morocco has been historically based on the city of Marrakesh, and we seek to continue that tradition. With a new palace, new fortifications, and a new military mission to be built, Marrakesh shall serve us well for our crown.;;;;;;;;;;;;;
occupy_dakhla_title;Pacify the south;;;;;;;;;;;;;
occupy_dakhla_desc;The tribes south of the city of Guelmim have always been a thorn on our side. Paying tribute to us half the time and raiding us on the other half, they are both loyal subjects and barbarian menaces. No more. We shall fortify important oasis cities and secure the water near the major wadis. They will bow to us.;;;;;;;;;;;;;
the_tunisian_hinterlands_title;The Tunisian hinterlands;;;;;;;;;;;;;
the_tunisian_hinterlands_desc;Tunis can never be safe from the Berber tribes down south if our borders are so close to the city. We must push south and secure a larger base for our city.;;;;;;;;;;;;;
the_constantine_hinterlands_title;The Constantine hinterlands;;;;;;;;;;;;;
the_constantine_hinterlands_desc;Bone can never be safe from the Berber tribes down south if our borders are so close to our treaty port. We must push south and secure a larger base for our port.;;;;;;;;;;;;;
hanseatic_frisia_title;The Frisia question;;;;;;;;;;;;;
hanseatic_frisia_desc;With our Realm united. It is time to strive for our lost lands. Frisians, our kin and compatriots, shall be our first goal.;;;;;;;;;;;;;
bergen_purchase_title;The purchase of Bergen;;;;;;;;;;;;;
bergen_purchase_desc;The port of Bergen-a Hanseatic kontor, and the last territory in Scandinavia outside our control. The port must be incorporated if we seek to unify Scandinavia. Let us send an offer to the owners.;;;;;;;;;;;;;
down_the_danube_title;Down the Danube;;;;;;;;;;;;;
down_the_danube_desc;The Danube has been an integral part of our nation for a millenium-and they shall be our next goal to be incorporated.;;;;;;;;;;;;;
conquest_of_syria_title;Conquest of Syria;;;;;;;;;;;;;
conquest_of_syria_desc;With our growing might we should make a push into the Orient-Those rich provinces will provide us the strength to push into Europa.;;;;;;;;;;;;;
conquest_of_levant_title;Into the holy land;;;;;;;;;;;;;
conquest_of_levant_desc;With our growing might we should make a push into the Levant-Those rich provinces will provide us the strength to push into farther Asia.;;;;;;;;;;;;;
colonial_militia_title;Recruit militias;;;;;;;;;;;;;
colonial_militia_desc;While our Standing army is the true cream of the crop, the size is lacking, to say the least. One suggested solution has been to incorporate the fractured militia into the army. While this will dilute the general quality of our troops, this will certainly bolster our numbers.;;;;;;;;;;;;;
hesse_unite_title;Unite Hessen;;;;;;;;;;;;;
hesse_unite_desc;The current borders in the Rhine-Hesse region is a mess, to say the least. With medieval principalities scattered all over the map, it is no wonder one can travel between five states in a single day. It is time to call for a united Hesse-a strong state that can protect all its citizens! Glory to Hesse!;;;;;;;;;;;;;
annex_swabia_title;Claim Swabia;;;;;;;;;;;;;
annex_swabia_desc;The Swabians are the closest kin in greater Germany for us Bavarians-uniting with them will strengthen both our people!;;;;;;;;;;;;;
along_the_rhine_title;Along the Rhine;;;;;;;;;;;;;
along_the_rhine_desc;From the Alps to the Nordsee, the Rhineland shall be united! A single state would be a massive boost to our commerce, our military and our industry!;;;;;;;;;;;;;
alles_ausser_deutsch_title;Hegemon of Swabia;;;;;;;;;;;;;
