Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
unite_England_with_netherlands_desc;With our monarch on the English throne, the idea of Unification even over the channel has been present ,with this new age we have decided to finally unite our Nations;;;;;;;;;;;;
unite_England_with_netherlands_title;Over the Channel;;;;;;;;;;;;
expand_west_title;West Expansion;;;;;;;;;;;;
expand_west_desc;We long have focused on the eastern coast of the adriatic now with our tight hold ist time to look west.;;;;;;;;;;;;
demand_milan_title;Demand Milan;;;;;;;;;;;;
demand_milan_desc;We should get Milan as it has no right being under german ownership;;;;;;;;;;;;
greater_genoa_title;A Greater Genoa ?;;;;;;;;;;;;
greater_genoa_desc;With our slow rise we could now make a move to claim surrounding italian lands;;;;;;;;;;;;
expand_east_title;Expand along the Coast;;;;;;;;;;;;
 expand_east_desc;We long have focused on the far west and the Americas now with our tight hold is time to look at our own paninsular , espiacially the eastern coast.;;;;;;;;;;;;
annex_egypt_cop_title;Down the Nile;;;;;;;;;;;;
annex_egypt_cop_desc;Since our Rebelion the Barbarians fled south.We werent able to beat them at the time , but we should go dow the nile and legitimize our kingdom once and for all;;;;;;;;;;;;
form_pirate_guard_title;A national Guard;;;;;;;;;;;;
form_pirate_guard_desc;Whilest our Corsaire force does the job well , it is time to legitimise our state by getting a true united and standing army;;;;;;;;;;;;
reclaim_north_africa_title;Reclaim North Africa;;;;;;;;;;;;
reclaim_north_africa_desc;With our resurgions it's time to return to our former , almost forgotten glory.We have to go up north and beat the barbarians;;;;;;;;;;;;
hanseatic_frisia_title;The Frisia question;;;;;;;;;;;;
hanseatic_frisia_desc;With our Realm united.It is time to strive for our lost lands.Lets look east to frisia.;;;;;;;;;;;;
down_the_danube_title;Down the danube;;;;;;;;;;;;
down_the_danube;The Danube has been an intrical part of our nation for a millenia;;;;;;;;;;;;
conquest_of_syria_title;Conquest of Syria;;;;;;;;;;;;
conquest_of_syria_desc;With our growing might we should make a push into the Orient;;;;;;;;;;;;
conquest_of_levant_title;Into the holy land;;;;;;;;;;;;
conquest_of_levant_desc;With our growing might we should make a push into the Levant;;;;;;;;;;;;
colonial_militia_title;Recruit militias;;;;;;;;;;;;
colonial_militia_desc;Our army is just petty.We need militia's to protect our country's;;;;;;;;;;;;
hesse_unite_title;Unite Hessen;;;;;;;;;;;;
hesse_unite_desc;For centurys our land has been fragmented although we are twin, same dialects ,same history same culture.So lets la claim to this land and unite Hessen !;;;;;;;;;;;;
annex_swabia_title;Claim Swabia;;;;;;;;;;;;
annex_swabia_desc;We may not understand them ,but the Swabians are closer to us Barians than any over neighbour;;;;;;;;;;;;
along_the_rhine_title;Along the Rhine;;;;;;;;;;;;
along_the_rhine_desc;With our strong location in the Rhineland we could push for complete hegemony and go down the rhine 'til the Alps;;;;;;;;;;;;
alles_ausser_deutsch_title;Hegemon of Swabia;;;;;;;;;;;;
alles_ausser_deutsch_desc;With our Swabian nature we could lay claim to Sigmaringen and Augsburg to complete our nation;;;;;;;;;;;;
unite_poland_lithuania_title;Unite Poland and Lithuania;;;;;;;;;;;;
unite_poland_lithuania_desc;With our close ties between us and Lithuania it could be a smart idea to officially merge both.We have come to this point before ,but decided not to. Our court now questions this decisions.;;;;;;;;;;;;
unite_poland_hungary_title;Unite with hungary;;;;;;;;;;;;
unite_poland_hungary_desc;Although we have closer ties to Lithuania uniting with Hungary could be a smart and stragetic move;;;;;;;;;;;;
become_greece_title;From City to State;;;;;;;;;;;;
become_greece_desc;For long we have been kept under the water but now we shal rise from the dephts and go to the mountains of Olypus;;;;;;;;;;;;
last_crusade_title;Last Crusade;;;;;;;;;;;;
last_crusade_desc;Our Power long forgotten the last thing we can do is a last push, a crusade ,like in the olden days where brave crusaders conquered the holy land… and … ahem… sacking a bit…  .Lets revive this tradition a last time and with modern technology a lasting time aswell;;;;;;;;;;;;
call_of_crusade_title;Call for the last Crusade;;;;;;;;;;;;
call_of_crusade_desc;News reached us from the vatican.They castet a spell long forgotten, Deus Vult, the Pope stated.We have a religious reason to join ,but also a strategic one;;;;;;;;;;;;
german_zoll_verein_title;Der Deutsche Zoll Verein;;;;;;;;;;;;
german_zoll_verein_desc;To bring more german unity and be more efficient we should start  a costum union;;;;;;;;;;;;
german_zoll_verein_UBD_title; Deutscher Zoll Verien;;;;;;;;;;;;
german_zoll_verein_UBD_desc;Whilest we were never part of the Holy Roman Empire.Its of great intrest to us to join the german monitary union;;;;;;;;;;;;
unite_the_copts_title;Unite the Copts;;;;;;;;;;;;
unite_the_copts_desc;We should do that.We have long been seperated but we areboth coptic nations;;;;;;;;;;;;
the_murano_purchase_title;The Murano purchase;;;;;;;;;;;;
the_murano_purchase_desc;We long are in need of a near port.So lets ask our neighbour Venice;;;;;;;;;;;;
nord_africa_title;The Nord Afrika Kompanie;;;;;;;;;;;;
nord_africa_desc;With our new port, we could encourage a settlement and company in North Africa;;;;;;;;;;;;
danish_pommerania_title;A Danish Pommerania;;;;;;;;;;;;
danish_pommerania_desc;With our position we could go after Pommerania and have a tighter grip on the Baltic and Northern Germany;;;;;;;;;;;;
swedish_pommerania_title;A Swedish Pommerania;;;;;;;;;;;;
swedish_pommerania_desc;With our position we could go after Pommerania and have a tighter grip on the Baltic and Northern Germany;;;;;;;;;;;;
